timestamp,speed_kmh,throttle,brake,steer,weather,rain,fog,num_vehicles,num_pedestrians,camera_view,collision,lane_invasion,pos_x,pos_y,pos_z,yaw
07:06.29,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:06.46,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:06.63,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:06.80,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:06.96,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:07.13,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:07.30,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:07.46,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:07.63,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:07.80,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:07.96,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:08.13,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:08.30,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:08.46,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:08.63,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:08.79,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:08.96,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:09.13,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:09.29,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:09.46,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:09.63,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:09.80,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:09.97,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:10.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:10.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:10.47,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:10.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:10.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:10.97,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:11.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:11.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:11.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:11.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:11.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:11.97,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:12.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
